Lexeme              Line      Token               Parent Node                   Leaf      Node                          
---                      ---       _eps_               <moreMatrixNums>              Yes       _eps_                         
---                      ---       ---                 <moreMatrixNums>              No        <moreMatrixNums>              
]                        15        SQC                 <matrix>                      Yes       SQC                           
---                      ---       ---                 <factor>                      No        <var>                         
---                      ---       ---                 <term>                        No        <factor>                      
---                      ---       ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               <termOps>                     Yes       _eps_                         
---                      ---       ---                 <term>                        No        <termOps>                     
---                      ---       ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
---                      ---       _eps_               <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        15        SEMICOLON           <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
b                        16        ID                  <assignmentStmt>              Yes       ID                            
---                      ---       ---                 <stmt>                        No        <assignmentStmt>              
=                        16        ASSIGNOP            <assignmentStmt>              Yes       ASSIGNOP                      
@                        16        SIZE                <var>                         Yes       SIZE                          
---                      ---       ---                 <factor>                      No        <var>                         
m                        16        ID                  <var>                         Yes       ID                            
---                      ---       ---                 <term>                        No        <factor>                      
---                      ---       ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               <termOps>                     Yes       _eps_                         
---                      ---       ---                 <term>                        No        <termOps>                     
---                      ---       ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
---                      ---       _eps_               <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        16        SEMICOLON           <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
function                 17        FUNCTION            <functionDef>                 Yes       FUNCTION                      
---                      ---       ---                 <stmtOrFunctionDef>           No        <functionDef>                 
[                        17        SQO                 <functionDef>                 Yes       SQO                           
string                   17        STRING              <type>                        Yes       STRING                        
---                      ---       ---                 <parameterList>               No        <type>                        
---                      ---       ---                 <functionDef>                 No        <parameterList>               
a                        17        ID                  <parameterList>               Yes       ID                            
,                        17        COMMA               <remainingList>               Yes       COMMA                         
---                      ---       ---                 <parameterList>               No        <remainingList>               
string                   17        STRING              <type>                        Yes       STRING                        
---                      ---       ---                 <remainingList>               No        <type>                        
g                        17        ID                  <remainingList>               Yes       ID                            
---                      ---       _eps_               <remainingList>               Yes       _eps_                         
---                      ---       ---                 <remainingList>               No        <remainingList>               
]                        17        SQC                 <functionDef>                 Yes       SQC                           
=                        17        ASSIGNOP            <functionDef>                 Yes       ASSIGNOP                      
_lolfun                  17        FUNID               <functionDef>                 Yes       FUNID                         
[                        17        SQO                 <functionDef>                 Yes       SQO                           
string                   17        STRING              <type>                        Yes       STRING                        
---                      ---       ---                 <parameterList>               No        <type>                        
---                      ---       ---                 <functionDef>                 No        <parameterList>               
a                        17        ID                  <parameterList>               Yes       ID                            
,                        17        COMMA               <remainingList>               Yes       COMMA                         
---                      ---       ---                 <parameterList>               No        <remainingList>               
string                   17        STRING              <type>                        Yes       STRING                        
---                      ---       ---                 <remainingList>               No        <type>                        
g                        17        ID                  <remainingList>               Yes       ID                            
---                      ---       _eps_               <remainingList>               Yes       _eps_                         
---                      ---       ---                 <remainingList>               No        <remainingList>               
]                        17        SQC                 <functionDef>                 Yes       SQC                           
a                        18        ID                  <assignmentStmt>              Yes       ID                            
---                      ---       ---                 <stmt>                        No        <assignmentStmt>              
=                        18        ASSIGNOP            <assignmentStmt>              Yes       ASSIGNOP                      
a                        18        ID                  <var>                         Yes       ID                            
---                      ---       ---                 <factor>                      No        <var>                         
---                      ---       _eps_               <matrixRest>                  Yes       _eps_                         
---                      ---       ---                 <var>                         No        <matrixRest>                  
---                      ---       ---                 <term>                        No        <factor>                      
---                      ---       ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               <termOps>                     Yes       _eps_                         
---                      ---       ---                 <term>                        No        <termOps>                     
---                      ---       ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
---                      ---       _eps_               <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        18        SEMICOLON           <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 <functionDef>                 No        <stmtsAndFunctionDefs>        
g                        19        ID                  <assignmentStmt>              Yes       ID                            
---                      ---       ---                 <stmt>                        No        <assignmentStmt>              
=                        19        ASSIGNOP            <assignmentStmt>              Yes       ASSIGNOP                      
@                        19        SIZE                <var>                         Yes       SIZE                          
---                      ---       ---                 <factor>                      No        <var>                         
m                        19        ID                  <var>                         Yes       ID                            
---                      ---       ---                 <term>                        No        <factor>                      
---                      ---       ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               <termOps>                     Yes       _eps_                         
---                      ---       ---                 <term>                        No        <termOps>                     
---                      ---       ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
---                      ---       _eps_               <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        19        SEMICOLON           <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
---                      ---       _eps_               <stmtsAndFunctionDefsOrEmpty> Yes       _eps_                         
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtsAndFunctionDefsOrEmpty> 
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtsAndFunctionDefsOrEmpty> 
end                      20        END                 <functionDef>                 Yes       END                           
;                        20        SEMICOLON           <functionDef>                 Yes       SEMICOLON                     
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
[                        21        SQO                 <assignmentStmt>              Yes       SQO                           
---                      ---       ---                 <stmt>                        No        <assignmentStmt>              
a                        21        ID                  <idList>                      Yes       ID                            
---                      ---       ---                 <assignmentStmt>              No        <idList>                      
,                        21        COMMA               <moreIds>                     Yes       COMMA                         
---                      ---       ---                 <idList>                      No        <moreIds>                     
v                        21        ID                  <idList>                      Yes       ID                            
---                      ---       ---                 <moreIds>                     No        <idList>                      
,                        21        COMMA               <moreIds>                     Yes       COMMA                         
---                      ---       ---                 <idList>                      No        <moreIds>                     
f                        21        ID                  <idList>                      Yes       ID                            
---                      ---       ---                 <moreIds>                     No        <idList>                      
---                      ---       _eps_               <moreIds>                     Yes       _eps_                         
---                      ---       ---                 <idList>                      No        <moreIds>                     
]                        21        SQC                 <assignmentStmt>              Yes       SQC                           
=                        21        ASSIGNOP            <assignmentStmt>              Yes       ASSIGNOP                      
_lolfun                  21        FUNID               <funCall>                     Yes       FUNID                         
---                      ---       ---                 <rightHandSideOfTuple>        No        <funCall>                     
(                        21        OP                  <funCall>                     Yes       OP                            
a                        21        ID                  <var>                         Yes       ID                            
---                      ---       ---                 <varList>                     No        <var>                         
---                      ---       _eps_               <matrixRest>                  Yes       _eps_                         
---                      ---       ---                 <var>                         No        <matrixRest>                  
