Lexeme                   Line      Token               Value If Number     Parent Node                   Leaf      Node                          
---                      ---       ---                 ---                 <functionDef>                 No        <stmtsAndFunctionDefs>        
real                     13        REAL                ---                 <type>                        Yes       REAL                          
---                      ---       ---                 ---                 <declarationStmt>             No        <type>                        
---                      ---       ---                 ---                 <stmt>                        No        <declarationStmt>             
k                        13        ID                  ---                 <idList>                      Yes       ID                            
---                      ---       ---                 ---                 <declarationStmt>             No        <idList>                      
---                      ---       _eps_               ---                 <moreIds>                     Yes       _eps_                         
---                      ---       ---                 ---                 <idList>                      No        <moreIds>                     
;                        13        SEMICOLON           ---                 <declarationStmt>             Yes       SEMICOLON                     
---                      ---       ---                 ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
s                        14        ID                  ---                 <assignmentStmt>              Yes       ID                            
---                      ---       ---                 ---                 <stmt>                        No        <assignmentStmt>              
=                        14        ASSIGNOP            ---                 <assignmentStmt>              Yes       ASSIGNOP                      
m1                       14        ID                  ---                 <var>                         Yes       ID                            
---                      ---       ---                 ---                 <factor>                      No        <var>                         
---                      ---       _eps_               ---                 <matrixRest>                  Yes       _eps_                         
---                      ---       ---                 ---                 <var>                         No        <matrixRest>                  
---                      ---       ---                 ---                 <term>                        No        <factor>                      
---                      ---       ---                 ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               ---                 <termOps>                     Yes       _eps_                         
---                      ---       ---                 ---                 <term>                        No        <termOps>                     
---                      ---       ---                 ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
+                        14        PLUS                ---                 <plusOrMinus>                 Yes       PLUS                          
---                      ---       ---                 ---                 <arithmeticExpressionOps>     No        <plusOrMinus>                 
---                      ---       ---                 ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
m2                       14        ID                  ---                 <var>                         Yes       ID                            
---                      ---       ---                 ---                 <factor>                      No        <var>                         
---                      ---       _eps_               ---                 <matrixRest>                  Yes       _eps_                         
---                      ---       ---                 ---                 <var>                         No        <matrixRest>                  
---                      ---       ---                 ---                 <term>                        No        <factor>                      
---                      ---       ---                 ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               ---                 <termOps>                     Yes       _eps_                         
---                      ---       ---                 ---                 <term>                        No        <termOps>                     
---                      ---       ---                 ---                 <arithmeticExpressionOps>     No        <arithmeticExpression>        
---                      ---       _eps_               ---                 <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        14        SEMICOLON           ---                 <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
---                      ---       _eps_               ---                 <stmtsAndFunctionDefsOrEmpty> Yes       _eps_                         
---                      ---       ---                 ---                 <stmtsAndFunctionDefs>        No        <stmtsAndFunctionDefsOrEmpty> 
---                      ---       ---                 ---                 <stmtsAndFunctionDefs>        No        <stmtsAndFunctionDefsOrEmpty> 
---                      ---       ---                 ---                 <stmtsAndFunctionDefs>        No        <stmtsAndFunctionDefsOrEmpty> 
end                      15        END                 ---                 <functionDef>                 Yes       END                           
;                        15        SEMICOLON           ---                 <functionDef>                 Yes       SEMICOLON                     
---                      ---       ---                 ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
x                        16        ID                  ---                 <assignmentStmt>              Yes       ID                            
---                      ---       ---                 ---                 <stmt>                        No        <assignmentStmt>              
=                        16        ASSIGNOP            ---                 <assignmentStmt>              Yes       ASSIGNOP                      
_concat                  16        FUNID               ---                 <funCall>                     Yes       FUNID                         
---                      ---       ---                 ---                 <var>                         No        <funCall>                     
(                        16        OP                  ---                 <funCall>                     Yes       OP                            
---                      ---       _eps_               ---                 <funIdList>                   Yes       _eps_                         
---                      ---       ---                 ---                 <funCall>                     No        <funIdList>                   
)                        16        CL                  ---                 <funCall>                     Yes       CL                            
---                      ---       ---                 ---                 <factor>                      No        <var>                         
---                      ---       ---                 ---                 <term>                        No        <factor>                      
---                      ---       ---                 ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               ---                 <termOps>                     Yes       _eps_                         
---                      ---       ---                 ---                 <term>                        No        <termOps>                     
---                      ---       ---                 ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
---                      ---       _eps_               ---                 <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        16        SEMICOLON           ---                 <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
c                        17        ID                  ---                 <assignmentStmt>              Yes       ID                            
---                      ---       ---                 ---                 <stmt>                        No        <assignmentStmt>              
=                        17        ASSIGNOP            ---                 <assignmentStmt>              Yes       ASSIGNOP                      
a                        17        ID                  ---                 <var>                         Yes       ID                            
---                      ---       ---                 ---                 <factor>                      No        <var>                         
---                      ---       _eps_               ---                 <matrixRest>                  Yes       _eps_                         
---                      ---       ---                 ---                 <var>                         No        <matrixRest>                  
---                      ---       ---                 ---                 <term>                        No        <factor>                      
---                      ---       ---                 ---                 <arithmeticExpression>        No        <term>                        
/                        17        DIV                 ---                 <mulOrDiv>                    Yes       DIV                           
---                      ---       ---                 ---                 <termOps>                     No        <mulOrDiv>                    
---                      ---       ---                 ---                 <term>                        No        <termOps>                     
b                        17        ID                  ---                 <var>                         Yes       ID                            
---                      ---       ---                 ---                 <factor>                      No        <var>                         
---                      ---       _eps_               ---                 <matrixRest>                  Yes       _eps_                         
---                      ---       ---                 ---                 <var>                         No        <matrixRest>                  
---                      ---       ---                 ---                 <term>                        No        <factor>                      
---                      ---       ---                 ---                 <termOps>                     No        <term>                        
---                      ---       _eps_               ---                 <termOps>                     Yes       _eps_                         
---                      ---       ---                 ---                 <term>                        No        <termOps>                     
---                      ---       ---                 ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
---                      ---       _eps_               ---                 <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        17        SEMICOLON           ---                 <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 ---                 <stmtOrFunctionDef>           No        <stmt>                        
